,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
empty_ng_plus_desc,"Once again......",,,,,,,,"再一次......",,,,,,,,,,,,,,,
empty_teleport_pyramid,"Portal to top of Pyramid",,,,,,,,"去往 金字塔顶 的传送门",,,,,,,,,,,,,,,
action_empty_colorful_rec_iter_projectile_hole,"Colorful Rec. Iter. Projectile: Hole",,,,,,,,"幻彩递归迭代投射物: 洞",,,,,,,,,,,,,,,,
actiondesc_empty_colorful_rec_iter_projectile_hole,"Apply following effects based on recursion level and iteration on cast\n1. if recursion exists: fire rate wait +60 frames\n2. if iteration exists: reload time +60 frames\n3. recursion 0: target spell becomes [ Black Hole ]\n4. recursion 1: target spell becomes Giga [ Black Hole ]\n5. recursion 2: target spell becomes Omega [ Black Hole ]\n6. if 1. and 2. both exist: replace target spell in 3., 4. and 5. with corresponding [ White Hole ] ver.\n7. if 1. doesn't exists and 2. exists: target spell becomes Energy Orb\n8. if 1. and 2. both don't exist: target spell becomes Energy Sphere, send all spells from hand and deck to graveyard, ban draw\nafter that, cast target spell 1 times",,,,,,,,"根据释放时的 递归等级 与 迭代数 把以下效果适用\n1. 有 递归等级: 施法延迟 +60 帧\n2. 有 迭代数: 充能时间 +60 帧\n3. 递归 0: 目标法术 变为 [ 黑洞 ]\n4. 递归 1: 目标法术 变为 巨大[ 黑洞 ]\n5. 递归 2: 目标法术 变为 终结[ 黑洞 ]\n6. 同时满足 1. 与 2.: 将 3., 4. 与 5. 中的 目标法术 替换为对应的 [ 白洞 ] 版本\n7. 不满足 1. 但满足 2.: 目标法术 变为 能量球\n8. 同时不满足 1. 与 2.: 目标法术 变为 能量球体, 将整个手卡·卡组送去墓地, 开启禁抽\n那之后, 释放 1 发 目标法术",,,,,,,,,,,,,,,,
action_empty_orbit_propane_tanks,Propane tank orbit,,,,,,,,丙烷罐环绕,,,,,,,,,,,,,,,,
actiondesc_empty_orbit_propane_tanks,Makes 4 Propans rotate around a projectile,,,,,,,,令 4 个丙烷罐环绕 1 个投射物,,,,,,,,,,,,,,,,
action_empty_nuke_ray_line,Two-way nuke thrower,,,,,,,,双向核弹投射,,,,,,,,,,,,,,,,
actiondesc_empty_nuke_ray_line,Makes a projectile fire ......nukes?! perpendicular to its trajectory,,,,,,,,令投射物发射垂直于速度方向的......核弹?!,,,,,,,,,,,,,,,,
action_empty_fire_rate_wait_increase_damage,Fire rate wait increase damage,,,,,,,,延迟增力量,,,,,,,,,,,,,,,,
actiondesc_empty_fire_rate_wait_increase_damage,Increases drill damage based on fire rate wait\nlow fire rate wait will reduce damage instead,,,,,,,,根据施法延迟提升投射物的穿凿伤害\n过低的施法延迟会反降其伤害,,,,,,,,,,,,,,,,
action_empty_reload_time_increase_damage,Reload time increase damage,,,,,,,,充能增力量,,,,,,,,,,,,,,,,
actiondesc_empty_reload_time_increase_damage,Increases slice damage based on reload time\nlow reload time will reduce damage instead,,,,,,,,根据充能时间提升投射物的切割伤害\n过低的充能时间会反降其伤害,,,,,,,,,,,,,,,,
action_empty_uses_increase_damage,Uses increase damage,,,,,,,,次数增力量,,,,,,,,,,,,,,,,
actiondesc_empty_uses_increase_damage,Increases ice damage based on total number of times spells in wand have been used,,,,,,,,根据此时法杖中法术的合计已使用次数提升投射物的寒冰伤害,,,,,,,,,,,,,,,,
action_empty_hp_increase_damage,"Low HP increase damage",,,,,,,,"低血增力量",,,,,,,,,,,,,,,,
actiondesc_empty_hp_increase_damage,"Increases fire damage of projectiles based on caster's lost health",,,,,,,,"根据施法者已损失的生命提升投射物的火焰伤害",,,,,,,,,,,,,,,,
action_empty_lifetime_infinite,Permanent lifetime,,,,,,,,持续时间无限,,,,,,,,,,,,,,,,
actiondesc_empty_lifetime_infinite,"Lifetime of a spell becomes permanent, but harmful to caster",,,,,,,,"法术的存在时间变为无限, 但对释放者也造成伤害",,,,,,,,,,,,,,,,
action_empty_slow,"Slow down",,,,,,,,"减速",,,,,,,,,,,,,,,,
actiondesc_empty_slow,"Decrease speed at which a projectile flies through air",,,,,,,,"降低投射物的飞行速度",,,,,,,,,,,,,,,,
action_empty_remove_initial_speed,"Remove initial speed",,,,,,,,"移除初速度",,,,,,,,,,,,,,,,
actiondesc_empty_remove_initial_speed,"Casts spells at 0 starting velocity, reduce fire rate wait and reload time at same time",,,,,,,,"以初速度 0 释放法术, 同时降低施法延迟与充能时间",,,,,,,,,,,,,,,,
action_empty_remove_liquid_friction,"Remove liquid friction",,,,,,,,"移除液体阻力",,,,,,,,,,,,,,,,
actiondesc_empty_remove_liquid_friction,"Remove projectiles' friction from liquid",,,,,,,,"移除液体对投射物的阻力",,,,,,,,,,,,,,,,
action_empty_remove_solid_friction,"Remove solid friction",,,,,,,,移除固体阻力,,,,,,,,,,,,,,,,
actiondesc_empty_remove_solid_friction,"Remove projectiles' friction from solid",,,,,,,,"移除固体对投射物的阻力",,,,,,,,,,,,,,,,
action_empty_remove_air_friction,"Remove air friction",,,,,,,,"移除空气阻力",,,,,,,,,,,,,,,,
actiondesc_empty_remove_air_friction,"Remove projectiles' friction from air",,,,,,,,"移除空气对投射物的阻力",,,,,,,,,,,,,,,,
action_empty_remove_gravity,"Remove gravity",,,,,,,,"移除重力",,,,,,,,,,,,,,,,
actiondesc_empty_remove_gravity,"Remove projectiles' gravity",,,,,,,,"移除重力对投射物的影响",,,,,,,,,,,,,,,,
action_empty_remove_self_damage,"Remove self-damage",,,,,,,,"移除自伤",,,,,,,,,,,,,,,,
actiondesc_empty_remove_self_damage,"Projectiles will no longer cause damage to caster",,,,,,,,"投射物不再对释放者造成伤害",,,,,,,,,,,,,,,,
action_empty_remove_lua,"Remove lua",,,,,,,,"移除lua",,,,,,,,,,,,,,,,
actiondesc_empty_remove_lua,"Remove projectiles' each lua script",,,,,,,,"移除投射物的每个 lua 脚本",,,,,,,,,,,,,,,,
action_empty_remove_body,"Remove body",,,,,,,,"移除尸体",,,,,,,,,,,,,,,,
actiondesc_empty_remove_body,"Entities hit by projectiles modified by this modifier disintegrate upon death",,,,,,,,"被此修正修饰的投射物击中的实体在死亡时解离",,,,,,,,,,,,,,,,
action_empty_remove_sound,"Remove sound",,,,,,,,"移除音效",,,,,,,,,,,,,,,,
actiondesc_empty_remove_sound,"World goes quiet",,,,,,,,"世界安静了",,,,,,,,,,,,,,,,
action_empty_damage_to_projectile,"Damage to: projectile",,,,,,,,"伤害变换: 投射物",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_projectile,"Add half of sum of other damage-type to projectile-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 投射物伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_fire,"Damage to: fire",,,,,,,,"伤害变换: 火焰",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_fire,"Add half of sum of other damage-type to fire-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 火焰伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_explosion,"Damage to: explosion",,,,,,,,"伤害变换: 爆炸",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_explosion,"Add half of sum of other damage-type to explosion-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 爆炸伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_electricity,"Damage to: electricity",,,,,,,,"伤害变换: 雷电",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_electricity,"Add half of sum of other damage-type to electricity-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 雷电伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_ice,"Damage to: ice",,,,,,,,"伤害变换: 冰冻",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_ice,"Add half of sum of other damage-type to ice-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 冰冻伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_radioactive,"Damage to: radioactive",,,,,,,,"伤害变换: 绿毒",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_radioactive,"Add half of sum of other damage-type to radioactive-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 绿毒伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_poison,"Damage to: poison",,,,,,,,"伤害变换: 紫毒",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_poison,"Add half of sum of other damage-type to poison-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 紫毒伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_slice,"Damage to: slice",,,,,,,,"伤害变换: 切割",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_slice,"Add half of sum of other damage-type to slice-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 切割伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_drill,"Damage to: drill",,,,,,,,"伤害变换: 穿凿",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_drill,"Add half of sum of other damage-type to drill-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 穿凿伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_melee,"Damage to: melee",,,,,,,,"伤害变换: 近战",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_melee,"Add half of sum of other damage-type to melee-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 近战伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_physics_hit,"Damage to: physics_hit",,,,,,,,"伤害变换: 物理",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_physics_hit,"Add half of sum of other damage-type to physics_hit-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 物理伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_curse,"Damage to: curse",,,,,,,,"伤害变换: 诅咒",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_curse,"Add half of sum of other damage-type to curse-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 诅咒伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_holy,"Damage to: holy",,,,,,,,"伤害变换: 神圣",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_holy,"Add half of sum of other damage-type to holy-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 神圣伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_damage_to_healing,"Damage to: healing",,,,,,,,"伤害变换: 治疗",,,,,,,,,,,,,,,
actiondesc_empty_damage_to_healing,"Add half of sum of other damage-type to healing-type, then set those to 0",,,,,,,,"将其他类型伤害合计数值的一半加到 治疗伤害 上, 然后将那些其他伤害变成 0",,,,,,,,,,,,,,,
action_empty_wall_trail,Wall trail,,,,,,,,屏障轨迹,,,,,,,,,,,,,,,,
actiondesc_empty_wall_trail,"Gives a projectile a trail of......wall?",,,,,,,,"令投射物飞行时留下......屏障轨迹?",,,,,,,,,,,,,,,,
action_empty_blood_trail,Blood trail,,,,,,,,鲜血轨迹,,,,,,,,,,,,,,,,
actiondesc_empty_blood_trail,Gives a projectile a trail of blood,,,,,,,,"令投射物飞行时留下鲜血轨迹, 并令击中的敌人染血",,,,,,,,,,,,,,,,
action_empty_urine_trail,Urine trail,,,,,,,,尿液轨迹,,,,,,,,,,,,,,,,
actiondesc_empty_urine_trail,Gives a projectile a trail of urine,,,,,,,,"令投射物飞行时留下尿液轨迹, 并令击中的敌人沾染尿渍",,,,,,,,,,,,,,,,
action_empty_hitfx_critical_urine,Critical on jarated enemies,,,,,,,,尿渍暴击,,,,,,,,,,,,,,,,
actiondesc_empty_hitfx_critical_urine,Makes a projectile always do a critical hit on jarated enemies,,,,,,,,令投射物击中沾有尿渍的敌人时暴击率 +100%,,,,,,,,,,,,,,,,
action_empty_colorful_rec_modifier_complex,"Colorful Rec. Modifier: Complex",,,,,,,,"幻彩递归修正: 复合",,,,,,,,,,,,,,,,
actiondesc_empty_colorful_rec_modifier_complex,"Apply following effects based on recursion level on cast\n1. if recursion exists: lifetime of spells +120 frames, fire rate wait +40 frames, reload time -20 frames\n2. recursion 0: projectile can through enemies\n3. recursion 1: projectiles won't slowed by air or liquid, can pass through ground without slowing down and ignore impact of gravity\n4. recursion 2+: projectile accelerate towards your foes\n5. if recursion doesn't exist: clear current extra entities, then set projectile lifetime to 0, fire rate wait -20 frames, reload time +40 frames",,,,,,,,"根据释放时的 递归等级 把以下效果适用\n1. 有 递归等级: 投射物存在时间延长 120 帧, 施法延迟 +40 帧, 充能时间 -20 帧\n2. 递归 0: 投射物能够穿透敌人\n3. 递归 1: 投射物不会被空气以及液体减速, 不减速地穿透地形且不受重力影响\n4. 递归 2+: 投射物向你的敌人加速扑去\n5. 无 递归等级: 清空当前 额外实体, 然后投射物的存在时间变为 0, 施法延迟 -20 帧, 充能时间 +40 帧",,,,,,,,,,,,,,,,
action_empty_material_urine,Urine,,,,,,,,尿,,,,,,,,,,,,,,,,
actiondesc_empty_material_urine,Transmute drops of urine from nothing,,,,,,,,"凭空产生一滴尿, 并令投射物击中的敌人沾染尿渍",,,,,,,,,,,,,,,,
action_empty_material_lava,Lava,,,,,,,,熔岩,,,,,,,,,,,,,,,,
actiondesc_empty_material_lava,Transmute drops of lava from nothing,,,,,,,,"凭空产生一滴熔岩, 并点燃投射物击中的敌人",,,,,,,,,,,,,,,,
action_empty_chunk_of_cement,Chunk of cement,,,,,,,,一把水泥,,,,,,,,,,,,,,,,
actiondesc_empty_chunk_of_cement,Don't stuck yourself,,,,,,,,别把自己卡住了,,,,,,,,,,,,,,,,
action_empty_chunk_of_gunpowder,Chunk of gunpowder,,,,,,,,一把火药,,,,,,,,,,,,,,,,
actiondesc_empty_chunk_of_gunpowder,Don't burn yourself,,,,,,,,别把自己点燃了,,,,,,,,,,,,,,,,
action_empty_circle_rainbow,Circle of rainbow,,,,,,,,彩虹之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_rainbow,An expanding circle of blood,,,,,,,,迷幻彩虹组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_blood,Circle of blood,,,,,,,,鲜血之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_blood,An expanding circle of blood,,,,,,,,淋漓鲜血组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_radioactive,Circle of toxic,,,,,,,,毒性之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_radioactive,An expanding circle of toxic sludge,,,,,,,,毒性淤泥组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_freeze,Circle of freeze,,,,,,,,冰冷之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_freeze,An expanding circle of freezing liquid,,,,,,,,冰冷液体组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_lava,Circle of lava,,,,,,,,熔岩之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_lava,An expanding circle of lava,,,,,,,,流淌熔岩组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_void,Circle of void,,,,,,,,虚空之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_void,An expanding circle of liquid of void,,,,,,,,虚空液体组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_invisible,Circle of invisible,,,,,,,,隐形之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_invisible,An expanding circle of magic liquid of invisibility,,,,,,,,隐形基质组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_pheromone,Circle of pheromone,,,,,,,,魅惑之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_pheromone,An expanding circle of magic liquid of pheromone,,,,,,,,魅惑基质组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_berserk,Circle of berserk,,,,,,,,狂暴之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_berserk,An expanding circle of magic liquid of berserk,,,,,,,,狂暴基质组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_teleport,Circle of teleport,,,,,,,,传送之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_teleport,An expanding circle of magic liquid of teleportation,,,,,,,,传送基质组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_weak,Circle of weak,,,,,,,,虚弱之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_weak,An expanding circle of magic liquid of weakness,,,,,,,,虚弱基质组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_ominous,Circle of ominous,,,,,,,,不详之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_ominous,An expanding circle of ominous liquid,,,,,,,,不详液体组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_polymorph,Circle of polymorph,,,,,,,,变形之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_polymorph,An expanding circle of magic liquid of polymorph,,,,,,,,变形基质组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_molten_gold,Circle of molten gold,,,,,,,,熔金之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_molten_gold,An expanding circle of molten gold,,,,,,,,熔融黄金组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_creepy,Circle of creepy,,,,,,,,恐怖之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_creepy,An expanding circle of creepy liquid,,,,,,,,恐怖液体组成的扩散之环,,,,,,,,,,,,,,,,
action_empty_circle_monster_powder,Circle of monster,,,,,,,,怪物之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_monster_powder,......No,,,,,,,,......别,,,,,,,,,,,,,,,,
action_empty_circle_hp_regeneration,Circle of life,,,,,,,,生命之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_hp_regeneration,"An expanding circle of magic liquid of hp regeneration\ndon't pretend to be clever......",,,,,,,,"生命基质组成的扩散之环\n不要自作聪明......",,,,,,,,,,,,,,,,
action_empty_circle_just_death,Circle of death,,,,,,,,死亡之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_just_death,Are you sure......?,,,,,,,,你确定......?,,,,,,,,,,,,,,,,
action_empty_circle_empty,Circle of EMPTY,,,,,,,,空无之环,,,,,,,,,,,,,,,,
actiondesc_empty_circle_empty,Whispers of void echo in your mind,,,,,,,,虚空的呢喃在你的脑海回响,,,,,,,,,,,,,,,,
action_empty_deck_to_power,Deck to power,,,,,,,,卡组变力量,,,,,,,,,,,,,,,,
actiondesc_empty_deck_to_power,"Send entire deck to graveyard, increases curse damage based on number of spells send to graveyard\nreturn first spell of graveyard to deck, then draw 1",,,,,,,,"将整个卡组送去墓地, 根据送去墓地的法术数量为投射物增加诅咒伤害\n墓地最前 1 个法术回到卡组, 那之后, 抽 1",,,,,,,,,,,,,,,,
action_empty_spell_reload,"Spell: RELOAD",,,,,,,,"法术: 弹药上膛",,,,,,,,,,,,,,,,
actiondesc_empty_spell_reload,"Fills every spell which is not [ Spell: RELOAD ] and not has full usage count with 1 use in your wand",,,,,,,,"为你法杖中的每个不为 [ 法术: 弹药上膛 ] 且使用次数不满的法术装填 1 次使用次数",,,,,,,,,,,,,,,,
action_empty_spell_unload,"Spell: UNLOAD",,,,,,,,"法术: 清空弹夹",,,,,,,,,,,,,,,,
actiondesc_empty_spell_unload,"Clear remaining uses of all spells with use limit in wand\nif this effect reduces remaining uses: cast that spell as many times as the reduced count",,,,,,,,"清空法杖内所有有使用次数限制的法术的剩余使用次数\n这个效果让剩余使用次数减少的场合: 再释放减少数量次那个法术",,,,,,,,,,,,,,,,
action_empty_gold_magic,Gold Magic,,,,,,,,黄金魔法,,,,,,,,,,,,,,,,
actiondesc_empty_gold_magic,"Adds 50 mana to this wand, reduces fire rate wait and reload time at costs of 2 gold",,,,,,,,"以 2 黄金为代价, 向法杖注入 50 法力、缩短施法延迟与充能时间",,,,,,,,,,,,,,,,
action_empty_all_giga_blackhole,Spells to Giga Blackhole,,,,,,,,终结黑洞置换术,,,,,,,,,,,,,,,,
actiondesc_empty_all_giga_blackhole,"Transforms every projectile currently exist into......Giga Blackhole?!",,,,,,,,"将存在的投射物化为......终结黑洞?!",,,,,,,,,,,,,,,,
action_empty_all_giga_whitehole,Spells to Giga Whitehole,,,,,,,,终结白洞置换术,,,,,,,,,,,,,,,,
actiondesc_empty_all_giga_whitehole,"Transforms every projectile currently exist into......Giga Whitehole?!",,,,,,,,"将存在的投射物化为......终结白洞?!",,,,,,,,,,,,,,,,
action_empty_all_empty,Spells to EMPTY,,,,,,,,空无置换术,,,,,,,,,,,,,,,,
actiondesc_empty_all_empty,"Transforms every projectile currently exist into EMPTY",,,,,,,,"将存在的投射物化为空无",,,,,,,,,,,,,,,,
action_empty_cursor_homing,Cursor homing,,,,,,,,光标追踪,,,,,,,,,,,,,,,,
actiondesc_empty_cursor_homing,Redirects all airborne projectiles towards shooter's cursor at a high speed,,,,,,,,令空中的所有投射物快速飞向此法术释放者的光标位置,,,,,,,,,,,,,,,,
action_empty_cursor_teleport,Cursor teleport,,,,,,,,光标传送,,,,,,,,,,,,,,,,
actiondesc_empty_cursor_teleport,Teleports caster to caster's cursor position; inflicts curse damage equal to 33% of caster's max health to caster,,,,,,,,"将释放者传送到光标位置, 并对释放者造成等同于其生命上限 33% 的诅咒伤害",,,,,,,,,,,,,,,,
action_empty_cursor_cast,Cursor cast,,,,,,,,光标施法,,,,,,,,,,,,,,,,
actiondesc_empty_cursor_cast,Casts spell from caster's cursor position,,,,,,,,从释放者光标位置施法,,,,,,,,,,,,,,,,
action_empty_echo_form,"ECHO form",,,,,,,,"回响形态",,,,,,,,,,,,,,,,
actiondesc_empty_echo_form,"Odd-numbered casts activate form, even-numbered casts deactivate form\nwhile form is active: all projectiles you cast gain “ECHO”",,,,,,,,"奇数次施法时开启形态, 偶数次施法时关闭形态\n形态开启期间: 你释放的所有投射物获得 “回响”",,,,,,,,,,,,,,,,
action_empty_bloodlust_form,"Bloodlust form",,,,,,,,"嗜血形态",,,,,,,,,,,,,,,,
actiondesc_empty_bloodlust_form,"Odd-numbered casts activate form, even-numbered casts deactivate form\nwhile form is active: all damage of spells you cast ×325%, but all your damage multiplier ×175%",,,,,,,,"奇数次施法时开启形态, 偶数次施法时关闭形态\n形态开启期间: 你释放的所有法术所有伤害 ×325%, 但你所有承伤系数 ×175%",,,,,,,,,,,,,,,,
action_empty_homing_form,"Homing form",,,,,,,,"追踪形态",,,,,,,,,,,,,,,,
actiondesc_empty_homing_form,"Odd-numbered casts activate form, even-numbered casts deactivate form\nwhile form is active: all projectiles you cast are treated as modified by [ Homing ] spell%",,,,,,,,"奇数次施法时开启形态, 偶数次施法时关闭形态\n形态开启期间: 你释放的所有投射物视为被 [ 追踪 ] 法术修饰",,,,,,,,,,,,,,,,
action_empty_statue_form,"Statue form",,,,,,,,"雕像形态",,,,,,,,,,,,,,,,
actiondesc_empty_statue_form,"Odd-numbered casts activate form, even-numbered casts deactivate form\nwhile form is active: all your damage multiplier ×3.25%, but your speed cap becomes 0",,,,,,,,"奇数次施法时开启形态, 偶数次施法时关闭形态\n形态开启期间: 你所有承伤系数 ×3.25%, 但你的速度上限变成 0",,,,,,,,,,,,,,,,
action_empty_rec_form,"Recursion form",,,,,,,,"递归形态",,,,,,,,,,,,,,,,
actiondesc_empty_rec_form,"Odd-numbered casts activate form, even-numbered casts deactivate form\nwhile form is active: +2 recursion level cap\ndon't pretend to be clever......",,,,,,,,"奇数次施法时开启形态, 偶数次施法时关闭形态\n形态开启期间: +2 递归等级上限\n不要自作聪明......",,,,,,,,,,,,,,,,
action_empty_iter_form,"Iteration form",,,,,,,,"迭代形态",,,,,,,,,,,,,,,,
actiondesc_empty_iter_form,"Odd-numbered casts activate form, even-numbered casts deactivate form\nwhile form is active: +2 recursion level cap\ndon't pretend to be clever......",,,,,,,,"奇数次施法时开启形态, 偶数次施法时关闭形态\n形态开启期间: +1 迭代数上限\n不要自作聪明......",,,,,,,,,,,,,,,,
action_empty_create_potion,"Create potion",,,,,,,,"魔药创造",,,,,,,,,,,,,,,,
actiondesc_empty_create_potion,"Create a potion, any potion, at random!",,,,,,,,"随机一瓶魔药? 随便什么魔药!",,,,,,,,,,,,,,,,
action_empty_summon_sell_hole,Summon SELL HOLE,,,,,,,,召唤回收洞,,,,,,,,,,,,,,,,
actiondesc_empty_summon_sell_hole,"Summon a SELL HOLE so that sell wands or spells for gold\nadapted from mod [ Sellhole ] with modifications\ni'm grateful to its author [ Tanksy ] for granting permission to use it",,,,,,,,"召唤一个回收洞以便将法杖或法术回收为黄金\n搬运自模组 [ Sellhole ] , 有更改\n感谢其开发者 [ Tanksy ] 的搬运许可",,,,,,,,,,,,,,,,
action_empty_magic_discard_queue,Magic: DISCARD - QUEUE,,,,,,,,魔术: 弃牌 - 队列,,,,,,,,,,,,,,,,
actiondesc_empty_magic_discard_queue,"Increases electricity damage based on number of spells in hand, send first spell in hand to graveyard",,,,,,,,"根据手卡的法术数量为投射物增加雷电伤害, 将手卡第 1 个法术送去墓地",,,,,,,,,,,,,,,,
action_empty_magic_discard_stack,Magic: DISCARD - STACK,,,,,,,,魔术: 弃牌 - 堆栈,,,,,,,,,,,,,,,,
actiondesc_empty_magic_discard_stack,"Increases fire damage based on number of spells in hand, send last spell in hand to graveyard",,,,,,,,"根据手卡的法术数量为投射物增加火焰伤害, 将手卡最后 1 个法术送去墓地",,,,,,,,,,,,,,,,
action_empty_magic_discard_self,Magic: DISCARD - SELF,,,,,,,,魔术: 弃牌 - 自身,,,,,,,,,,,,,,,,
actiondesc_empty_magic_discard_self,"Increases ice damage based on number of spells in hand\nif last spell in hand is [ Magic: DISCARD - SELF ]: send it to graveyard",,,,,,,,"根据手卡的法术数量为投射物增加冰冻伤害\n如果手卡最后 1 个法术是 [ 魔术: 弃牌 - 自身 ]: 将其送去墓地",,,,,,,,,,,,,,,,
action_empty_swap_life_and_death,"Swap 'life' and 'death'",,,,,,,,"'现世'与'冥界'的逆转",,,,,,,,,,,,,,,,
actiondesc_empty_swap_life_and_death,"Swaps deck and graveyard\nafter that, draw spells equal to difference count between deck and graveyard",,,,,,,,"交换卡组与墓地\n那之后, 抽出卡组与墓地相差数量的绝对值",,,,,,,,,,,,,,,,
action_empty_x2,"×2",,,,,,,,"×2",,,,,,,,,,,,,,,,
actiondesc_empty_x2,"Casts every spell which is not [ ×2 ] or [ RESET ] by order in hand with no draw\nignore their impact on mana, fire rate wait and reload time\nafter that, draw 1",,,,,,,,"依次禁抽地释放手卡中的每个不为 [ ×2 ] 或 [ 魔杖刷新 ] 的法术\n无视它们对法力、施法延迟、充能时间的影响\n那之后, 抽 1",,,,,,,,,,,,,,,,
action_empty_arrival,"ARRIVAL",,,,,,,,"到来",,,,,,,,,,,,,,,,
actiondesc_empty_arrival,"Casts every spell which is not [ ARRIVAL ] or [ RESET ] by order in deck with no draw\nignore their impact on mana, fire rate wait and reload time\nafter that, draw 1 \n crossing mountains and rivers, traveler must arrive\n DESTINY is inescapable",,,,,,,,"依次禁抽地释放卡组中的每个不为 [ 到来 ] 或 [ 魔杖刷新 ] 的法术\n无视它们对法力、施法延迟、充能时间的影响\n那之后, 抽 1 \n 跨越山川终已至\n 定数无可避",,,,,,,,,,,,,,,,
action_empty_departure,"DEPARTURE",,,,,,,,"离去",,,,,,,,,,,,,,,,
